index,date,campaign,adgroup,ad,cost
301,15-03-2021,campaign 1,adgroup 2,ad 3,0.04
308,15-03-2021,campaign 1,adgroup 2,ad 7,0.03
1,01-03-2021,campaign 1,adgroup 3,ad 1,0.17
8,01-03-2021,campaign 1,adgroup 3,ad 3,1.06
11,01-03-2021,campaign 1,adgroup 3,ad 4,0.17
12,01-03-2021,campaign 1,adgroup 3,ad 5,0.1
13,01-03-2021,campaign 1,adgroup 3,ad 6,0.88
16,01-03-2021,campaign 1,adgroup 3,ad 7,0.16
17,01-03-2021,campaign 1,adgroup 3,ad 8,0.98
19,02-03-2021,campaign 1,adgroup 3,ad 1,0.24
27,02-03-2021,campaign 1,adgroup 3,ad 3,1.36
30,02-03-2021,campaign 1,adgroup 3,ad 4,0.24
31,02-03-2021,campaign 1,adgroup 3,ad 5,0.07
32,02-03-2021,campaign 1,adgroup 3,ad 6,0.99
34,02-03-2021,campaign 1,adgroup 3,ad 7,0.13
36,02-03-2021,campaign 1,adgroup 3,ad 8,0.94
39,03-03-2021,campaign 1,adgroup 3,ad 1,0.09
43,03-03-2021,campaign 1,adgroup 3,ad 3,0.34
46,03-03-2021,campaign 1,adgroup 3,ad 4,0.05
47,03-03-2021,campaign 1,adgroup 3,ad 5,0.03
48,03-03-2021,campaign 1,adgroup 3,ad 6,0.14
51,03-03-2021,campaign 1,adgroup 3,ad 7,0.07
52,03-03-2021,campaign 1,adgroup 3,ad 8,0.25
53,03-03-2021,campaign 1,adgroup 3,ad 71,0.87
59,03-03-2021,campaign 1,adgroup 3,ad 72,2.05
65,03-03-2021,campaign 1,adgroup 3,ad 72,0.56
66,04-03-2021,campaign 1,adgroup 3,ad 71,1.59
70,04-03-2021,campaign 1,adgroup 3,ad 72,1.54
75,04-03-2021,campaign 1,adgroup 3,ad 72,0.4
78,05-03-2021,campaign 1,adgroup 3,ad 73,0.7
83,05-03-2021,campaign 1,adgroup 3,ad 71,0.49
87,05-03-2021,campaign 1,adgroup 3,ad 74,2.9
90,05-03-2021,campaign 1,adgroup 3,ad 75,0.32
91,05-03-2021,campaign 1,adgroup 3,ad 72,0.17
94,05-03-2021,campaign 1,adgroup 3,ad 72,0.55
98,06-03-2021,campaign 1,adgroup 3,ad 73,0.66
103,06-03-2021,campaign 1,adgroup 3,ad 74,3.36
107,06-03-2021,campaign 1,adgroup 3,ad 75,0.45
111,07-03-2021,campaign 1,adgroup 3,ad 73,0.78
115,07-03-2021,campaign 1,adgroup 3,ad 74,3.53
119,07-03-2021,campaign 1,adgroup 3,ad 75,0.47
124,08-03-2021,campaign 1,adgroup 3,ad 1,0.08
129,08-03-2021,campaign 1,adgroup 3,ad 3,1.21
132,08-03-2021,campaign 1,adgroup 3,ad 4,0.07
133,08-03-2021,campaign 1,adgroup 3,ad 5,0.05
134,08-03-2021,campaign 1,adgroup 3,ad 6,1.03
135,08-03-2021,campaign 1,adgroup 3,ad 7,0.12
138,08-03-2021,campaign 1,adgroup 3,ad 8,1.03
142,08-03-2021,campaign 1,adgroup 3,ad 56,0.09
146,08-03-2021,campaign 1,adgroup 3,ad 55,0.05
149,09-03-2021,campaign 1,adgroup 3,ad 1,0.12
154,09-03-2021,campaign 1,adgroup 3,ad 3,1.29
158,09-03-2021,campaign 1,adgroup 3,ad 4,0.09
159,09-03-2021,campaign 1,adgroup 3,ad 5,0.04
160,09-03-2021,campaign 1,adgroup 3,ad 6,0.91
162,09-03-2021,campaign 1,adgroup 3,ad 7,0.21
164,09-03-2021,campaign 1,adgroup 3,ad 8,0.93
167,09-03-2021,campaign 1,adgroup 3,ad 56,0.18
170,09-03-2021,campaign 1,adgroup 3,ad 55,0.04
175,10-03-2021,campaign 1,adgroup 3,ad 1,0.12
181,10-03-2021,campaign 1,adgroup 3,ad 3,1.16
184,10-03-2021,campaign 1,adgroup 3,ad 4,0.18
185,10-03-2021,campaign 1,adgroup 3,ad 5,0.22
186,10-03-2021,campaign 1,adgroup 3,ad 6,0.72
187,10-03-2021,campaign 1,adgroup 3,ad 7,0.06
190,10-03-2021,campaign 1,adgroup 3,ad 8,1
193,10-03-2021,campaign 1,adgroup 3,ad 55,0.12
195,10-03-2021,campaign 1,adgroup 3,ad 56,0.15
198,11-03-2021,campaign 1,adgroup 3,ad 1,0.09
205,11-03-2021,campaign 1,adgroup 3,ad 3,1.27
207,11-03-2021,campaign 1,adgroup 3,ad 4,0.1
208,11-03-2021,campaign 1,adgroup 3,ad 5,0.18
209,11-03-2021,campaign 1,adgroup 3,ad 6,0.85
212,11-03-2021,campaign 1,adgroup 3,ad 7,0.22
213,11-03-2021,campaign 1,adgroup 3,ad 8,0.97
217,11-03-2021,campaign 1,adgroup 3,ad 55,0.09
218,11-03-2021,campaign 1,adgroup 3,ad 56,0.07
221,12-03-2021,campaign 1,adgroup 3,ad 1,0.12
230,12-03-2021,campaign 1,adgroup 3,ad 3,1.39
231,12-03-2021,campaign 1,adgroup 3,ad 4,0.09
232,12-03-2021,campaign 1,adgroup 3,ad 5,0.24
233,12-03-2021,campaign 1,adgroup 3,ad 6,0.66
235,12-03-2021,campaign 1,adgroup 3,ad 7,0.13
237,12-03-2021,campaign 1,adgroup 3,ad 8,0.9
241,12-03-2021,campaign 1,adgroup 3,ad 55,0.03
243,12-03-2021,campaign 1,adgroup 3,ad 56,0.09
245,13-03-2021,campaign 1,adgroup 3,ad 1,0.14
253,13-03-2021,campaign 1,adgroup 3,ad 3,1.58
255,13-03-2021,campaign 1,adgroup 3,ad 4,0.28
256,13-03-2021,campaign 1,adgroup 3,ad 5,0.1
257,13-03-2021,campaign 1,adgroup 3,ad 6,0.41
259,13-03-2021,campaign 1,adgroup 3,ad 7,0.2
261,13-03-2021,campaign 1,adgroup 3,ad 8,0.79
266,13-03-2021,campaign 1,adgroup 3,ad 56,0.13
267,13-03-2021,campaign 1,adgroup 3,ad 55,0.04
272,14-03-2021,campaign 1,adgroup 3,ad 1,0.09
277,14-03-2021,campaign 1,adgroup 3,ad 3,1.73
280,14-03-2021,campaign 1,adgroup 3,ad 4,0.08
281,14-03-2021,campaign 1,adgroup 3,ad 5,0.11
282,14-03-2021,campaign 1,adgroup 3,ad 6,0.6
284,14-03-2021,campaign 1,adgroup 3,ad 7,0.2
286,14-03-2021,campaign 1,adgroup 3,ad 8,0.97
290,14-03-2021,campaign 1,adgroup 3,ad 55,0.07
292,14-03-2021,campaign 1,adgroup 3,ad 56,0.14
295,15-03-2021,campaign 1,adgroup 3,ad 1,0.07
303,15-03-2021,campaign 1,adgroup 3,ad 3,1.42
304,15-03-2021,campaign 1,adgroup 3,ad 4,0.2
305,15-03-2021,campaign 1,adgroup 3,ad 5,0.17
306,15-03-2021,campaign 1,adgroup 3,ad 6,0.81
307,15-03-2021,campaign 1,adgroup 3,ad 7,0.11
310,15-03-2021,campaign 1,adgroup 3,ad 8,0.67
314,15-03-2021,campaign 1,adgroup 3,ad 55,0.01
316,15-03-2021,campaign 1,adgroup 3,ad 56,0.06
2,01-03-2021,campaign 1,adgroup 4,ad 1,0.05
5,01-03-2021,campaign 1,adgroup 4,ad 2,0.03
9,01-03-2021,campaign 1,adgroup 4,ad 3,0.08
20,02-03-2021,campaign 1,adgroup 4,ad 1,0
24,02-03-2021,campaign 1,adgroup 4,ad 2,0
28,02-03-2021,campaign 1,adgroup 4,ad 3,0.05
38,03-03-2021,campaign 1,adgroup 4,ad 1,0
45,03-03-2021,campaign 1,adgroup 4,ad 3,0.02
55,03-03-2021,campaign 1,adgroup 4,ad 71,0.03
58,03-03-2021,campaign 1,adgroup 4,ad 72,0.06
62,03-03-2021,campaign 1,adgroup 4,ad 72,0.02
68,04-03-2021,campaign 1,adgroup 4,ad 71,0.01
71,04-03-2021,campaign 1,adgroup 4,ad 72,0.01
72,04-03-2021,campaign 1,adgroup 4,ad 72,0.04
77,05-03-2021,campaign 1,adgroup 4,ad 73,0.01
81,05-03-2021,campaign 1,adgroup 4,ad 71,0.01
85,05-03-2021,campaign 1,adgroup 4,ad 74,0.13
88,05-03-2021,campaign 1,adgroup 4,ad 75,0
97,05-03-2021,campaign 1,adgroup 4,ad 72,0
101,06-03-2021,campaign 1,adgroup 4,ad 73,0.01
102,06-03-2021,campaign 1,adgroup 4,ad 74,0.06
108,06-03-2021,campaign 1,adgroup 4,ad 75,0.02
110,07-03-2021,campaign 1,adgroup 4,ad 73,0
116,07-03-2021,campaign 1,adgroup 4,ad 74,0.09
121,07-03-2021,campaign 1,adgroup 4,ad 75,0.03
123,08-03-2021,campaign 1,adgroup 4,ad 1,0.01
130,08-03-2021,campaign 1,adgroup 4,ad 3,0.02
143,08-03-2021,campaign 1,adgroup 4,ad 56,0.01
150,09-03-2021,campaign 1,adgroup 4,ad 1,0.03
151,09-03-2021,campaign 1,adgroup 4,ad 2,0
157,09-03-2021,campaign 1,adgroup 4,ad 3,0.03
165,09-03-2021,campaign 1,adgroup 4,ad 10,0
171,09-03-2021,campaign 1,adgroup 4,ad 56,0
176,10-03-2021,campaign 1,adgroup 4,ad 1,0
177,10-03-2021,campaign 1,adgroup 4,ad 2,0.02
182,10-03-2021,campaign 1,adgroup 4,ad 3,0
196,11-03-2021,campaign 1,adgroup 4,ad 1,0
201,11-03-2021,campaign 1,adgroup 4,ad 2,0.02
203,11-03-2021,campaign 1,adgroup 4,ad 3,0.05
220,12-03-2021,campaign 1,adgroup 4,ad 1,0
226,12-03-2021,campaign 1,adgroup 4,ad 2,0.02
227,12-03-2021,campaign 1,adgroup 4,ad 3,0.01
246,13-03-2021,campaign 1,adgroup 4,ad 1,0.02
249,13-03-2021,campaign 1,adgroup 4,ad 2,0
254,13-03-2021,campaign 1,adgroup 4,ad 3,0.02
271,14-03-2021,campaign 1,adgroup 4,ad 1,0
275,14-03-2021,campaign 1,adgroup 4,ad 2,0.03
276,14-03-2021,campaign 1,adgroup 4,ad 3,0.08
288,14-03-2021,campaign 1,adgroup 4,ad 56,0
293,15-03-2021,campaign 1,adgroup 4,ad 1,0.03
298,15-03-2021,campaign 1,adgroup 4,ad 2,0.01
300,15-03-2021,campaign 1,adgroup 4,ad 3,0.01
312,15-03-2021,campaign 1,adgroup 4,ad 10,0
313,15-03-2021,campaign 1,adgroup 4,ad 55,0.01
